MEDICAL CONCEPT LABEL,MEDICAL CONCEPT ID
lab::Dextromethorphan::LP16105-6,20634
lab::Dialysis::LP32538-8,20635
lab::Diazepam::LP16108-0,20636
lab::Dic screen,20637
lab::Dic/liver screen,20638
lab::Digitoxin::LP16113-0,20639
lab::Digoxin::LP14714-7,20640
lab::Dihydrotestosterone,20641
lab::Dilute russell's viper venom,20642
"lab::Diphtheria ab,endpt",20643
lab::Direct antiglobulin test.poly specific reagent::LP14531-5,20644
lab::Diuretics::LP18047-8,20645
lab::Dnase sensitivity,20646
lab::Dodecanoylcarnitine (C12)::LP19320-8,20647
lab::Dodecenoylcarnitine (C12:1)::LP19319-0,20648
lab::Dog dander ige,20649
lab::Dog danger ige,20650
lab::Dog epithelium ige,20651
lab::Dopamine::LP15543-9,20652
lab::Doxepin::LP14717-0,20653
lab::Dpd gene mutation,20654
lab::Drug abuse::LP36310-8,20655
"lab::Drug coma/overdose i,bld",20656
lab::Drvvt confirm,20657
lab::Drvvt screen,20658
lab::Duck feather IgE::LP147875-1,20659
lab::Duration::LP14744-4,20660
lab::E. histolytica igg abs,20661
lab::E.chaffeensis ab (igm),20662
lab::E.equine enceph.vurus igm,20663
lab::E.equine encephal. pcr,20664
lab::EBV-LMP Ag::LP62868-2,20665
lab::Eastern equine enceph ab,20666
lab::Echinococcus igg ab,20667
lab::Echovirus Ab panel::LP36398-3,20668
lab::Echovirus Ab::LP37981-5,20669
lab::Edd,20670
lab::Egfr calculation,20671
lab::Egfr mutation analysis,20672
lab::Egg white -f1,20673
lab::Egg white ige,20674
lab::Egg yolk ige,20675
lab::Eggplant ige,20676
lab::Eh etoh screen,20677
lab::Eh u-pcp screen,20678
lab::Ehrlichia buffy coat,20679
lab::Ehrlichia chaffeensis Ab::LP38010-2,20680
lab::Ehrlichia chaffeensis IgG::LP38011-0,20681
lab::Ehrlichia chaffeensis IgM::LP38012-8,20682
lab::Ehrlichia det. by pcr,20683
lab::Ehs alcohol,20684
lab::Ej autoabs,20685
lab::Electrolytes - single valence::LP19403-2,20686
lab::Electrolytes panel::LP94298-4,20687
lab::Elisa hiv-i,20688
lab::Elisa hiv-i/ii,20689
lab::Elm ige,20690
lab::Elution,20691
lab::Emc1 snp (rs3737240),20692
"lab::Emergency ur,tox",20693
lab::Eml4-alk gene fusion,20694
lab::Encephalitis panel,20695
lab::Encephalitis panel dh,20696
lab::Endomysial iga autoabs,20697
lab::Engraft-post trans,20698
lab::Engraftment-pre transplant,20699
lab::Engraftments/chimerish (post),20700
lab::Engraftments/chimerish (pre),20701
lab::Engraftments/chimerism (post),20702
lab::Engraftments/chimerism (pre),20703
lab::Enolase::LP15026-5,20704
lab::Enpot specimen type,20705
lab::Enterovirus RNA::LP38050-8,20706
lab::Enterovirus::LP16864-8,20707
lab::Eosinophil cationic protein (ECP)::LP20810-5,20708
lab::Eosinophils::LP14539-8,20709
lab::Epinephrine::LP15027-3,20710
lab::Epithelial cells::LP14043-1,20711
lab::Er arterial panel,20712
lab::Er bun crea panel,20713
lab::Er venous panel,20714
lab::Erythrocyte Ab::LP38097-9,20715
lab::Erythrocyte morphology::LP71681-8,20716
lab::Erythrocytes::LP14304-7,20717
lab::Erythropoietin::LP15554-6,20718
lab::Estradiol Free::LP18655-8,20719
lab::Estradiol::LP14497-9,20720
lab::Estriol::LP15558-7,20721
lab::Estrogen::LP14661-0,20722
lab::Estrone::LP15560-3,20723
lab::Ethanol::LP14348-4,20724
lab::Ethosuximide::LP16137-9,20725
lab::Ethylene glycol::LP14106-6,20726
lab::Etoh screen,20727
lab::Eugl l.t,20728
lab::Euglobulin lysis test,20729
lab::Everolimus::LP65523-0,20730
lab::F. moniliforme ige,20731
lab::F191 whitefish,20732
lab::F352-rara h 8,20733
lab::F422-rara h 1,20734
lab::F423-rara h 2,20735
lab::F424-rara h 3,20736
lab::F427-rara h 9,20737
lab::Factor IX given::LP228403-4,20738
lab::Factor VIII given::LP228404-2,20739
lab::Factor inhib. titer,20740
lab::Factor type,20741
lab::Factor v leiden,20742
lab::Factor xiii (screen),20743
"lab::Familial dysautonomia, dna",20744
lab::Familial mediterranean fever,20745
lab::Fat::LP28807-3,20746
lab::Fatty acids::LP14488-8,20747
lab::Febrile agglutinin Ab panel::LP35817-3,20748
lab::Fecal fat,20749
"lab::Fecal fat, qualitative",20750
"lab::Fecal fat, quan",20751
lab::Felbamate::LP17239-2,20752
lab::Fentanyl::LP15167-7,20753
lab::Ferritin::LP15568-6,20754
lab::Fetal screen,20755
lab::Fetuses::LP72584-3,20756
lab::Fibrin D-dimer::LP15987-8,20757
lab::Fibrin degrad.product,20758
lab::Fibrinogen::LP14704-8,20759
lab::Fibroblast culture,20760
lab::Fibronectin::LP15573-6,20761
lab::Fig ige,20762
lab::Filaria IgG4::LP40411-8,20763
lab::Final a,20764
"lab::Fioricet, urine",20765
lab::Fipil1-pdgfra (bone marrow),20766
lab::Fire ant ige,20767
lab::First trimester maternal screen with nuchal translucency::LP69855-2,20768
lab::Flaxseed ige,20769
lab::Flecainide::LP16148-6,20770
lab::Flounder IgE::LP148120-1,20771
lab::Flt3 mutation,20772
lab::Fluconazole::LP14993-7,20773
lab::Fluid cea,20774
lab::Fluid cell cnt,20775
lab::Fluid cell cnt & diff,20776
lab::Fluid lipase,20777
lab::Fluid type,20778
lab::Flunitrazepam::LP14357-5,20779
lab::Fluoxetine::LP14381-5,20780
lab::Fluphenazine::LP16152-8,20781
lab::Folate::LP15575-1,20782
lab::Fondaparinux::LP63637-0,20783
"lab::Formic acid, blood",20784
lab::Foscarnet::LP15700-5,20785
lab::Fragile X protein (FMRP)::LP116661-2,20786
lab::Fragile x w/rfx,20787
lab::Francisella tularensis IgG::LP38189-4,20788
lab::Francisella tularensis IgM::LP38190-2,20789
lab::Free T4 and TSH panel::LP14144-7,20790
"lab::Free k+l lt. chains,qn,s",20791
lab::Free kappa serum,20792
lab::Free kappa/lambda ratio,20793
lab::Free lambda serum,20794
lab::Free psa,20795
lab::Free psa panel,20796
lab::Fructosamine::LP15578-5,20797
"lab::Fsh, serum",20798
lab::Fta-abs,20799
lab::Fungal abs. quant,20800
"lab::Fungal panel 1, id",20801
lab::Fungitell,20802
lab::Fungus::LP14398-9,20803
lab::G6-pd quantitative,20804
lab::G6-pd screening,20805
lab::Gad autoabs,20806
lab::Galact. phos. conversion,20807
lab::Galactic-1-phos.uridyl,20808
lab::Galactokinase::LP15585-0,20809
lab::Galactomannan Ag::LP38215-7,20810
lab::Galactose 1 phosphate::LP15586-8,20811
lab::Galactose::LP15263-4,20812
lab::Gamma g t,20813
lab::Gamma glob,20814
lab::Gamma globulin::LP15836-7,20815
lab::Gamma tocopherol::LP99929-9,20816
lab::Ganglioside GD1a IgG::LP38220-7,20817
lab::Ganglioside GD1b IgG::LP38223-1,20818
lab::Ganglioside GD1b IgM::LP38224-9,20819
lab::Ganglioside autoabs,20820
lab::Ganglioside gd1b igg/m ab,20821
lab::Gardnerella vaginalis::LP17121-2,20822
lab::Garlic ige,20823
lab::Gastrin::LP14665-1,20824
lab::Gelatin IgE::LP148068-2,20825
lab::Geneseq (monogram),20826
lab::Genital culture,20827
lab::Genital culture-potential abuse,20828
lab::Genosure,20829
lab::Gentamicin::LP15747-6,20830
lab::Gestational age::LP19507-0,20831
"lab::Ghb acid screen, urine",20832
lab::Giardiasis ab by ifa,20833
lab::Giemsa stain,20834
lab::Ginger,20835
lab::Gliadin IgA::LP38244-7,20836
lab::Glimepride::LP35577-3,20837
lab::Glipizide::LP14719-6,20838
lab::Globulin::LP14885-5,20839
lab::Glucagon::LP14667-7,20840
lab::Glucose::LP14635-4,20841
lab::Glutamine::LP15609-8,20842
"lab::Glutarylcarnitine, c5dc",20843
lab::Gluten ige,20844
lab::Glyburide::LP14720-4,20845
"lab::Glycohemoglobin,total",20846
lab::Glycomark,20847
lab::Glycoproteins::LP15623-9,20848
lab::Glycosaminoglycans::LP15624-7,20849
lab::Gm1 triad autoab,20850
lab::Goat milk ige,20851
lab::Gold::LP16822-6,20852
lab::Goldenrod ige,20853
lab::Gonadotropin rel.hormone,20854
lab::Goose feather ige,20855
lab::Goosefoot ige,20856
lab::Gram stain,20857
lab::Granulocytes::LP18643-4,20858
lab::Grape ige,20859
lab::Grapefruit ige,20860
lab::Graves' disease panel,20861
lab::Green Pepper IgE::LP148276-1,20862
lab::Green bean,20863
lab::Green pepper ige,20864
lab::Group b strep screen,20865
lab::Growth hormone 0 minutes,20866
lab::Growth hormone abs,20867
lab::Growth hormone minus 30 minutes,20868
lab::Growth hormone plus 120 minutes,20869
lab::Growth hormone plus 150 minutes,20870
lab::Growth hormone plus 180 minutes,20871
lab::Growth hormone plus 30 minutes,20872
lab::Growth hormone plus 60 minutes,20873
lab::Growth hormone plus 90 minutes,20874
"lab::Growth hormone,-ria",20875
lab::Growth hormone-releasing hormone::LP18044-5,20876
lab::Gtt 1 hour,20877
lab::Gtt 1/2 hour,20878
lab::Gtt 2 hour,20879
lab::Gtt 3 hour,20880
lab::Gtt fast,20881
lab::Gtt preload,20882
lab::Gtt specimen 1,20883
lab::Gtt specimen 2,20884
lab::Gtt specimen 3,20885
lab::Gtt specimen 4,20886
lab::Gtt specimen 5,20887
lab::Gtt stimulation,20888
"lab::Guaiac, fecal",20889
lab::Guinea pig epith. ige,20890
"lab::H. pylori ag, (feces)",20891
lab::H. pylori iga,20892
lab::H. pylori igg,20893
lab::H.halodes ige,20894
lab::H.hemochromatosis,20895
lab::H.inf.b. vaccine resp,20896
"lab::H.simplex 1, abs, quant",20897
lab::H63d,20898
lab::HEDIS 2014 Value Set - Valproic Acid Level::LP175659-4,20899
lab::HIV 1 Ab::LP38421-1,20900
lab::HIV 1 RNA::LP38425-2,20901
lab::HIV 1 and 2 Ab::LP38426-0|LP38459-1,20902
lab::HIV 1::LP14307-0,20903
lab::HIV 2 Ab::LP38463-3,20904
lab::HLA Ab::LP38481-5,20905
lab::HLA-A29::LP36766-1,20906
lab::HLA-A::LP18319-1,20907
lab::HLA-B27::LP16560-2,20908
lab::HLA-B51::LP97941-6,20909
lab::HLA-B::LP18320-9,20910
lab::HLA-DR+DQ::LP19531-0,20911
lab::HTLV 1 DNA::LP38511-9,20912
lab::HTLV I+II Ab::LP38524-2,20913
lab::HTLV::LP102290-6,20914
lab::Haemophilus influ.b ag,20915
lab::Halibut,20916
lab::Haloperidol::LP16158-5,20917
lab::Hamster epith. ige,20918
lab::Haptoglobin::LP16411-8,20919
lab::Hazel nut -f17,20920
lab::Hazel nut ige,20921
lab::Hb fractionation,20922
lab::Hb other,20923
lab::Hbv dna quant. pcr,20924
lab::Hcg mom,20925
"lab::Hcg total, quant",20926
"lab::Hcg total, quantitative",20927
"lab::Hcg, serum",20928
"lab::Hcg, total beta",20929
"lab::Hcg,intact",20930
lab::Hco3 - art,20931
lab::Hco3 - art (poct),20932
lab::Hco3 - cap (poct),20933
lab::Hco3 - cord blood,20934
lab::Hco3 - ven,20935
lab::Hco3 - ven (poct),20936
lab::Hcv immunoblot,20937
lab::Hcv qnt pcr w/rflx genotype,20938
lab::Hcv qnt. pcr w/reflex genotype,20939
"lab::Hcv rna bdna, quant",20940
"lab::Hcv rna genotype,lipa",20941
lab::Hcv rna pcr,20942
"lab::Hcv rna pcr, qual",20943
lab::Hcv rna quant. pcr,20944
lab::Hcv rna quantitative,20945
"lab::Hcv rna,qn,tma",20946
lab::Hcv tma (iu),20947
lab::Hcv tma (log),20948
lab::Heavy metals::LP14257-7,20949
lab::Helicobacter pylori::LP16707-9,20950
lab::Helper/suppressor,20951
lab::Hematocrit::LP15101-6,20952
lab::Hemofil factor 8,20953
lab::Hemoglobin A1c::LP16413-4,20954
lab::Hemoglobin A2::LP14451-6,20955
lab::Hemoglobin A::LP14554-7,20956
lab::Hemoglobin C::LP16420-9,20957
lab::Hemoglobin E::LP16427-4,20958
lab::Hemoglobin F::LP16428-2,20959
lab::Hemoglobin S::LP16455-5,20960
lab::Hemoglobin.other::LP19281-2,20961
lab::Hemoglobin::LP14449-0,20962
lab::Hemoglobinopathy eval,20963
lab::Hemoglobinopathy pro,20964
lab::Hemoglobinopathy profile,20965
lab::Hemolysis index::LP40392-0,20966
lab::Hemolytic disease of newborn screen::LP14691-7,20967
lab::Hemosiderin::LP16466-2,20968
lab::Hep. c virus genotyping,20969
lab::Hep. c virus qnt. pcr w/reflex genotype,20970
lab::Hep. dependent plt. abs,20971
lab::Hep.b dna ultraquant,20972
lab::Hep.c virus genotyping,20973
lab::Hep.dependent plt.abs,20974
lab::Heparin anti Xa::LP29059-0,20975
lab::Heparin cofactor II Ag::LP38315-5,20976
lab::Hepascore,20977
lab::Hepatic function panel,20978
lab::Hepatitis B virus DNA::LP38320-5,20979
lab::Hepatitis B virus genotype::LP174044-0,20980
lab::Hepatitis C virus Ab::LP38332-0,20981
lab::Hepatitis C virus c33c Ab::LP38343-7,20982
lab::Hepatitis E virus IgG::LP38351-0,20983
lab::Hepatitis E virus IgM::LP38352-8,20984
lab::Hepatitis a virus total,20985
lab::Hepatitis b e ag,20986
lab::Hepatitis b sur. ag & ab,20987
lab::Hepatitis bc ab igm,20988
lab::Hepatitis bc ab total,20989
lab::Hepatitis be ab,20990
lab::Hepatitis be ag,20991
lab::Hepatitis bs ab qual,20992
lab::Hepatitis bs ab quant,20993
lab::Hepatitis bs ag,20994
lab::Hepatitis bs ag(ns),20995
lab::Hepatitis c virus subtypr pcr w/reflex genotyp,20996
lab::Hepatitis c virus subtypr pcr w/reflex genotype,20997
"lab::Hepatitis d rna,ql,rt-pcr",20998
"lab::Hepatitis delta, ab",20999
lab::Hepatitis g rna pcr,21000
lab::Heptimax (r) hcv rna,21001
lab::Heptimax (r) hcv rna iu/ml,21002
lab::Heptimax (r) hcv rna log iu/ml,21003
lab::Her-2/neu plasma,21004
lab::Her-2/neu serum monitr,21005
lab::Herpes antigen,21006
lab::Herpes antigen dfa,21007
lab::Herpes simples 2 pcr,21008
lab::Herpes simplex 1 igg,21009
lab::Herpes simplex 1 pcr,21010
"lab::Herpes vir. ii abs,igg",21011
lab::Herpes virus culture,21012
"lab::Herpes-8, human abs",21013
lab::Hexadecanoylcarnitine c16,21014
"lab::Hexadecenoylcarn, c16:1",21015
lab::Hexanoylcarnitine (C6)::LP19308-3,21016
lab::Hexosaminidase,21017
lab::Hgb (poct),21018
lab::Hgb a,21019
lab::Hgb a1,21020
lab::Hgb a1c (poct),21021
lab::Hgb a2,21022
lab::Hgb c,21023
lab::Hgb fetal,21024
lab::Hgb plasma,21025
lab::Hgb s,21026
lab::Hgb urine,21027
lab::Hhv-8 quant pcr,21028
lab::Hhv6 dna pcr,21029
lab::High mol.weight kininogen,21030
lab::Histamine::LP15636-1,21031
lab::Histone IgG::LP38403-9,21032
lab::Histone-dna igg abs,21033
"lab::Histoplasma abs, csf",21034
"lab::Histoplasma abs,cf,csf",21035
"lab::Histoplasma ag, urine",21036
"lab::Histoplasma ag,serum",21037
lab::Histoplasma antibodies,21038
lab::Histoplasma dna detect,21039
"lab::Histoplasmosis ag, ur",21040
lab::Hit igg,21041
lab::Hit screen,21042
"lab::Hiv dna pcr, neonates",21043
lab::Hiv p24 antigen,21044
lab::Hla b5701 test,21045
lab::Hla-b5701 typing,21046
lab::Homocysteine::LP14977-0,21047
lab::Homocystine::LP15641-1,21048
lab::Honey IgG::LP38499-7,21049
lab::Honeybee ige,21050
lab::Honeybee venom,21051
lab::Horse dander ige,21052
lab::Horseradish ige,21053
lab::House dust ige,21054
lab::Hpv detection & typing,21055
lab::Hsod,21056
lab::Hsp-70 ab (anti-68 kd ag),21057
"lab::Hsv 1 & 2 dna pcr, csf",21058
lab::Hsv 1/2 igg herpeselect,21059
lab::Hsv type 1&2 pcr,21060
"lab::Hsv type 1&2 pcr,csf",21061
lab::Hsv typing,21062
lab::Hu ab titer,21063
lab::Hu ab western blot,21064
lab::Human anti-chimeric a,21065
lab::Human anti-chimeric ab,21066
lab::Human anti-mouse abs,21067
lab::Human herpes vir6 dna,21068
"lab::Human herpes virus-7,pcr",21069
lab::Human herpesvir. 6 dna,21070
lab::Human herpesvirus 6 dna det,21071
"lab::Human herpesvirus 6,igg",21072
lab::Human placental lact,21073
lab::Humate-p,21074
lab::Hva conc. value,21075
lab::Hva timed -urine,21076
lab::Hva timed value,21077
"lab::Hva, urine random",21078
"lab::Hva, urine-random",21079
"lab::Hva,urine",21080
lab::Hydrocodone::LP16161-9,21081
lab::Hydromorphone::LP16162-7,21082
lab::Hydroxyproline::LP15650-2,21083
lab::Hyper. pneumonitis,21084
lab::Hyperoxaluria pnl.urine,21085
lab::Hypertension::LP74941-3,21086
lab::Hypoglycemic panel,21087
lab::IGH gene rearrangements::LP190358-4,21088
lab::INR::LP17102-2,21089
lab::Ibd serology 7,21090
lab::Icam-1,21091
lab::Icteric index::LP40394-6,21092
lab::Icu arterial panel,21093
lab::Icu venous panel,21094
lab::Identification::LP72776-5,21095
lab::Ifa perinuclear pattern,21096
lab::Ife comments,21097
lab::Ife interpretation,21098
lab::IgA Ab::LP38608-3,21099
lab::IgA IgG::LP38609-1,21100
lab::IgA::LP14669-3,21101
lab::IgD::LP15654-4,21102
lab::IgE::LP14671-9,21103
lab::IgG subclass 1::LP15657-7,21104
lab::IgG subclass 2::LP15658-5,21105
lab::IgG subclass 3::LP15659-3,21106
lab::IgG subclass 4::LP15660-1,21107
lab::IgG subclass panel::LP61580-4,21108
lab::IgG synthesis rate::LP18370-4,21109
lab::IgG::LP14672-7,21110
lab::IgM Ab::LP38619-0,21111
lab::IgM::LP14674-3,21112
lab::Igfbp-3,21113
lab::Iggindex+synthesis-c,21114
lab::Iggindex+synthesis-s,21115
lab::Igk gene rearrangement,21116
lab::Il28b polymorphism gen,21117
lab::Il28b snp-rs12979860,21118
lab::Il28b snp-rs8099917,21119
lab::Imipramine::LP16166-8,21120
lab::Immature gran,21121
lab::Immediate begins,21122
lab::Immediate complete,21123
"lab::Immune comp, raji cell",21124
lab::Immune comp.c1q bind,21125
lab::Immune complex::LP14309-6,21126
lab::Immunocompromised o&p,21127
lab::Immunofix. serum panel,21128
lab::Immunofix. urine panel,21129
lab::Immunofixation csf,21130
lab::Immunofixation serum,21131
lab::Immunofixation urine,21132
"lab::Immunoglobulin d, quant",21133
lab::Immunoglobulins qnt,21134
lab::Incubated begins,21135
lab::Incubated complete,21136
lab::India ink prep,21137
lab::Indir. antiglobulin,21138
lab::Infac-influenza a pcr,21139
lab::Infant rh,21140
lab::Inflammatory bowel dis,21141
lab::Infliximab::LP35095-6,21142
"lab::Infliximal level, sr",21143
lab::Influenza a detection,21144
lab::Influenza a human h1 rt-pcr,21145
lab::Influenza a human h3 rt-pcr,21146
lab::Influenza a rt-pcr,21147
lab::Influenza b detection,21148
lab::Influenza b rt-pcr,21149
lab::Influenza comment,21150
lab::Influenza dfa,21151
lab::Influenza virus A IgM::LP38643-0,21152
lab::Influenza virus B IgG::LP38690-1,21153
lab::Influenza virus B IgM::LP38691-9,21154
lab::Informative alleles,21155
lab::Inhibin A::LP14356-7,21156
lab::Inhibin B::LP29072-3,21157
lab::Initial a,21158
lab::Inr (poct),21159
lab::Inr - sl,21160
lab::Insulin Free::LP29075-6,21161
lab::Insulin-like growth factor-I::LP15669-2,21162
lab::Insulin-like growth factor-II::LP15670-0,21163
lab::Insulin-like growth factor::LP20163-9,21164
lab::Insulin::LP14676-8,21165
lab::Int.beta (ifnb) ab neu.assay,21166
lab::Intact parathyroid hormone,21167
lab::Interferon beta::LP18172-4,21168
lab::Interferon gamma::LP18171-6,21169
lab::Interleukin 1 beta::LP18509-7,21170
lab::Interleukin 10::LP21163-8,21171
lab::Interleukin 12::LP18174-0,21172
lab::Interleukin 13::LP31544-7,21173
lab::Interleukin 2 receptor::LP14310-4,21174
lab::Interleukin 2::LP16470-4,21175
lab::Interleukin 4::LP16472-0,21176
lab::Interleukin 5::LP16473-8,21177
lab::Interleukin 6::LP16474-6,21178
lab::Interleukin 8::LP30829-3,21179
lab::Interpretation,21180
lab::Interpretation (ss-a),21181
lab::Interpretation (ss-b),21182
lab::Interpreted by,21183
lab::Interval,21184
lab::Intrinsic fr.blc.abs,21185
"lab::Inv(16), qn, pcr",21186
lab::Iodine::LP15157-8,21187
lab::Iron::LP15677-5,21188
lab::Islet cell ab titer,21189
"lab::Iso-/butrylcarnitine, c4",21190
lab::Isoniazid::LP15831-8,21191
lab::Isospora stain,21192
lab::Isovaleryl/-2-methylbut c5,21193
lab::Itraconazole::LP14995-2,21194
lab::JAK2 gene p.Val617Phe::LP36477-5,21195
lab::JC virus Ab::LP145878-7,21196
lab::JC virus DNA::LP38740-4,21197
lab::Jak 2 exon 12 mutation,21198
lab::Jak2 quant,21199
"lab::Jak2 v617f, quant",21200
"lab::Jc virus qnt. pcr, ur",21201
"lab::Jc virus, qnt, pcr - csf",21202
"lab::Jc virus, qnt,pcr",21203
"lab::Jc virus, qnt,pcr - bld",21204
"lab::Jc virus, qnt,pcr-csf",21205
lab::Jo-1 autoabs,21206
lab::Johnson grass ige,21207
lab::Kentucky bl. grass ige,21208
"lab::Kentucky bl. grass, g8",21209
lab::Ketamine::LP15032-3,21210
lab::Ketones::LP15683-3,21211
lab::Kidney stone diag prof,21212
lab::Kirby bauer panel,21213
lab::Kirby bauer single drug,21214
lab::Kit exons 8 & 17 mut.anal,21215
lab::Kiwi fruit ige,21216
lab::Koh prep,21217
lab::Kras trimgen,21218
lab::Ku autoabs,21219
lab::L/s ratio and pg,21220
lab::Lacosamide::LP100041-5,21221
"lab::Lactalbumin, alpha ige",21222
"lab::Lactalbumin,beta ige",21223
lab::Lactate dehydrogenase 1::LP15688-2,21224
lab::Lactate dehydrogenase 2::LP15689-0,21225
lab::Lactate dehydrogenase 3::LP15690-8,21226
lab::Lactate dehydrogenase 4::LP15691-6,21227
lab::Lactate dehydrogenase 5::LP15692-4,21228
lab::Lactate dehydrogenase::LP15033-1,21229
lab::Lactate::LP15686-6,21230
lab::Lactoferrin::LP15694-0,21231
lab::Lamb/mutton ige,21232
lab::Lambs quarters ige,21233
lab::Lamotrigine::LP17251-7,21234
lab::Large undiff. cells,21235
lab::Lasa (serial monitor),21236
lab::Latex enhanced -rk82,21237
lab::Latex enhanced ige,21238
lab::Laxatives::LP18988-3,21239
lab::Ld (ldh),21240
lab::Ld fluid,21241
lab::Ld isoenzyme panel,21242
lab::Ld(ldh),21243
lab::Ld-1,21244
lab::Ld-1/ld-2 ratio,21245
lab::Ld-2,21246
lab::Ld-3,21247
lab::Ld-4,21248
lab::Ld-5,21249
lab::Ldh isoenzymes,21250
lab::Ldl/hdl ratio,21251
lab::Lead - urine,21252
"lab::Lead, blood",21253
"lab::Lead, blood (peds.)",21254
"lab::Lead, blood adult",21255
"lab::Lead,24 hour urine",21256
"lab::Lead,capillary blood",21257
lab::Leflunomide::LP34970-1,21258
"lab::Legionella abs, total",21259
lab::Legionella antigen dfa,21260
lab::Legionella culture,21261
lab::Legionella dfa,21262
"lab::Legionella pneu. ag, ur",21263
"lab::Legionella pneu.ag,ur",21264
"lab::Leishmania ab, ifa",21265
lab::Lemon ige,21266
lab::Length::LP18010-6,21267
lab::Lentil -f235,21268
lab::Lentil ige,21269
lab::Leptin::LP19488-3,21270
lab::Leptospiral antibodies,21271
lab::Lettuce ige,21272
lab::Leukocyte esterase::LP15701-3,21273
lab::Leukocytes::LP14419-3,21274
lab::Levetiracetam::LP28566-5,21275
lab::Lh & fsh,21276
"lab::Lh, serum",21277
lab::Lhon mtdna mutation,21278
lab::Lidocaine::LP16174-2,21279
lab::Lima bean,21280
"lab::Lime, ige",21281
lab::Limited t4,21282
lab::Linezolid::LP21256-0,21283
lab::Linoleoylcarnitine (C18:2)::LP19327-3,21284
"lab::Lipase, urine",21285
lab::Lipemic index::LP40393-8,21286
lab::Lipids::LP15705-4,21287
lab::Lipoprotein lipase::LP15707-0,21288
lab::Lipoproteins::LP15711-2,21289
"lab::Listeria ab, serum",21290
"lab::Listeria abs, csf",21291
lab::Lithium::LP16175-9,21292
lab::Liver cytosol autoabs,21293
lab::Liver fibrosis score::LP193274-0,21294
lab::Liver transp monit,21295
lab::Lk microsomal ab,21296
lab::Lobster -f80,21297
lab::Lobster ige,21298
lab::Log copies/ml(version3.0),21299
lab::Lopinavir::LP28756-2,21300
lab::Lorazepam::LP16176-7,21301
lab::Lr irr red cells,21302
"lab::Lsd, urine",21303
lab::Lupus anticoagulant neutralization buffer::LP36441-1,21304
lab::Lupus anticoagulant panel,21305
lab::Lyme ab blood w/rfx wb,21306
lab::Lyme ab w/ reflex wb,21307
lab::Lyme dis. pcr csf/sf,21308
"lab::Lyme dis. pcr, csf",21309
"lab::Lyme dis. pcr,synovial fld",21310
"lab::Lyme dis.dna,pcr bld",21311
"lab::Lyme disease,pcr,tick",21312
"lab::Lyme, western blot,sr",21313
"lab::Lymp. choriomeningitis vir., csf",21314
lab::Lymph node(s)::LP238883-5,21315
lab::Lymph. screen,21316
lab::Lymphocyte proliferation tetanus toxoid stimulation::LP30912-7,21317
lab::Lymphocytes::LP14540-6,21318
lab::Lysozyme::LP14684-2,21319
lab::M-spike,21320
lab::M-spike (%),21321
lab::M-spike g/dl,21322
lab::M-spike mg/24hrs,21323
lab::M-spike mg/l,21324
lab::M202 hormodendrum hor,21325
lab::Ma+Ta Ab::LP38989-7,21326
lab::Macadamia nut -rf345,21327
lab::Macadamia nut ige,21328
lab::Mackerel ige,21329
lab::Macrophages::LP14314-6,21330
lab::Macroprolactin::LP34987-5,21331
"lab::Macroscopic exam, arthropod",21332
lab::Mag ab (igm),21333
lab::Mag dual ag autoab,21334
lab::Magnesium::LP14343-5,21335
lab::Manganese::LP16827-5,21336
lab::Mango ige,21337
lab::Mannose-binding protein::LP28532-7,21338
lab::Mannose::LP62205-7,21339
lab::Manual Differential panel::LP96794-0,21340
lab::Maple (box elder) -t1,21341
lab::Maple ige,21342
lab::Maternal screen 4,21343
lab::Maternal serum afp,21344
lab::Maternal weight,21345
lab::Mean corp. hgb,21346
lab::Mean corp. hgb conc,21347
lab::Mean corp. volume,21348
lab::Mean plt volume,21349
lab::Measles (rubeola) igg,21350
lab::Med admiss/opd screen,21351
lab::Melanin::LP15724-5,21352
lab::Melon ige,21353
"lab::Men2/fmtc,ex10,11,13-16",21354
lab::Men2b,21355
lab::Meningococcal igg vac. resp,21356
lab::Mercaptopurine::LP15173-5,21357
lab::Mercury::LP14344-3,21358
lab::Mesothelial cells::LP14311-2,21359
lab::Meta conc. value,21360
lab::Meta timed value,21361
lab::Metamyelocytes::LP15075-2,21362
lab::Metanephrine::LP14463-1,21363
lab::Metanephrines::LP14467-2,21364
lab::Metapneumovirus det,21365
lab::Metapneumovirus dfa,21366
lab::Metformin::LP33332-5,21367
lab::Methadone::LP15015-8,21368
lab::Methanol::LP14349-2,21369
lab::Methaqualone::LP15016-6,21370
lab::Methemoglobin::LP15729-4,21371
lab::Methotrexate::LP16198-1,21372
lab::Methylmalonic acid,21373
"lab::Methylmalonic acid, serum",21374
"lab::Methylmalonic acid, u",21375
"lab::Methylmalonylcarn, c4dc",21376
lab::Methylphenidate::LP16202-1,21377
lab::Mexiletine::LP16205-4,21378
lab::Mi-2 autoabs,21379
"lab::Microalb/creat, ur-random",21380
lab::Microalbumin panel::LP99258-3,21381
lab::Microalbumin/Creatinine ratio panel::LP31917-5,21382
lab::Microsporidia identified::LP39020-0,21383
lab::Microsporidia spore set,21384
lab::Milk -f2,21385
lab::Milk ige,21386
lab::Mirtazapine::LP19150-9,21387
lab::Mitochondria M2 IgG::LP39024-2,21388
lab::Mitochondrial antibody,21389
lab::Mitochondrial dna scr.pnl,21390
lab::Mitogen response,21391
